date,season,home_team,away_team,home_goals,away_goals,odd_home,odd_draw,odd_away,result,home_elo_before,away_elo_before,elo_diff,home_elo_trend_5,elo_change_home,elo_change_away,home_points_last5,away_points_last5,form_diff_points_last5,home_goals_scored_rm5,away_goals_conceded_rm5,home_form_ratio,away_form_ratio,home_gd_roll5,away_gd_roll5,avg_goal_diff_last5,home_cleansheets_last5,away_cleansheets_last5,home_btts_last5,p_home_market,p_draw_market,p_away_market,overround_wdl,p_home_fair,p_draw_fair,p_away_fair,round,max_round,is_first_half,season_half,days_since_season_start,rest_days_home,matches_last14_home,rest_days_away,matches_last14_away
2024-09-21,2024/2025,Liverpool,Bournemouth,3,0,1.29,6.31,9.35,H,1537.9,1498.9,73.2,9.4775,17.1,-17.1,,,4.0,1.75,1.25,1.0,1.0,1.5,0.0,1.5,3.0,0.0,0.0,0.7751937984496123,0.1584786053882726,0.10695187165775401,1.040624275495639,0.7449314961256264,0.1522918589543674,0.10277664492000621,11,109,True,H1,36,7.0,1.0,21.0,0.0
2024-09-21,2024/2025,Southampton,Ipswich,1,1,2.25,3.52,3.17,D,1444.5,1469.1,-23.1,-13.875,0.78,-0.78,,,-2.0,0.25,1.75,,1.0,-1.75,-1.25,-0.5,0.0,1.0,1.0,0.4444444444444444,0.2840909090909091,0.31545741324921134,1.043992766784565,0.4257160189081641,0.27211961435891174,0.302164366732924,11,109,True,H1,36,7.0,1.0,7.0,1.0
2024-09-21,2024/2025,Tottenham,Brentford,3,1,1.55,4.72,5.41,H,1496.8,1500.7,29.4,-0.8125,16.69,-16.69,,,-2.0,1.5,1.5,1.0,1.0,0.5,0.0,0.5,1.0,0.0,2.0,0.6451612903225806,0.21186440677966104,0.18484288354898337,1.041868580651225,0.6192348078289486,0.20335041358789627,0.17741477858315532,11,109,True,H1,36,6.0,1.0,7.0,1.0
2024-09-21,2024/2025,Crystal Palace,Man United,0,0,2.85,3.72,2.36,D,1473.6,1500.9,-25.6,-6.6,0.86,-0.86,,,-4.0,1.0,1.25,1.0,1.0,-0.75,0.0,-0.75,0.0,2.0,3.0,0.3508771929824561,0.26881720430107525,0.42372881355932207,1.0434232108428534,0.33627505056076484,0.2576300790586505,0.4060948703805847,11,109,True,H1,36,7.0,1.0,7.0,1.0
2024-09-22,2024/2025,Brighton,Nott'm Forest,2,2,1.86,3.83,4.21,D,1528.1,1521.5,6.2,7.0275,-0.21,0.21,,,0.0,1.5,0.5,1.0,1.0,1.0,0.5,0.5,2.0,2.0,2.0,0.5376344086021505,0.2610966057441253,0.23752969121140144,1.0362607055576771,0.5188215723308891,0.2519603458317111,0.22921808183739995,12,109,True,H1,37,8.0,1.0,8.0,1.0
2024-09-22,2024/2025,Man City,Arsenal,2,2,1.83,3.62,4.52,D,1558.9,1542.8,15.0,14.715,-0.51,0.51,,,2.0,2.75,0.25,1.0,1.0,2.0,1.25,0.75,1.0,3.0,3.0,0.5464480874316939,0.27624309392265195,0.22123893805309736,1.043930119407443,0.5234527458043546,0.26461837702264346,0.21192887717300204,12,109,True,H1,37,8.0,1.0,7.0,1.0
2024-09-28,2024/2025,Newcastle,Man City,1,1,5.09,4.47,1.61,D,1513.1,1558.4,-42.4,2.622,1.42,-1.42,10.0,13.0,-3.0,1.4,1.0,1.0,1.0,0.2,1.6,-1.4,1.0,1.0,4.0,0.19646365422396858,0.2237136465324385,0.6211180124223602,1.0412953131787672,0.18867236963184156,0.21484169159419989,0.5964859387739586,13,109,True,H1,43,27.0,0.0,28.0,0.0
2024-09-28,2024/2025,Arsenal,Leicester,4,2,1.18,7.82,15.12,H,1543.3,1476.6,93.5,8.67,13.37,-13.37,11.0,3.0,8.0,1.6,1.6,1.0,1.0,1.0,-0.4,1.4,3.0,0.0,2.0,0.8474576271186441,0.1278772378516624,0.06613756613756615,1.0414724311078727,0.8137110515898687,0.12278504359028708,0.06350390481984425,13,109,True,H1,43,28.0,0.0,14.0,1.0
2024-09-28,2024/2025,Brentford,West Ham,1,1,2.23,3.62,3.16,D,1484.0,1472.6,10.7,-3.1979999999999995,-0.36,0.36,6.0,4.0,2.0,1.4,1.8,1.0,1.0,-0.4,-0.8,0.4,0.0,1.0,4.0,0.4484304932735426,0.27624309392265195,0.3164556962025316,1.0411292833987262,0.43071547446025016,0.26533025084153533,0.30395427469821445,13,109,True,H1,43,28.0,0.0,14.0,1.0
2024-09-28,2024/2025,Chelsea,Brighton,4,2,1.74,4.23,4.35,H,1531.1,1527.9,35.9,6.212,16.35,-16.35,10.0,9.0,1.0,2.2,0.8,1.0,1.0,1.2,0.8,0.3999999999999999,2.0,2.0,2.0,0.5747126436781609,0.23640661938534277,0.2298850574712644,1.041004320534768,0.5520751761942051,0.22709475332811274,0.22083007047768208,13,109,True,H1,43,27.0,0.0,28.0,0.0
2024-09-28,2024/2025,Everton,Crystal Palace,2,1,2.73,3.39,2.63,H,1444.5,1474.5,-6.1,-11.1,11.95,-11.95,1.0,3.0,-2.0,1.0,1.4,1.0,1.0,-1.8,-0.6,-1.2000000000000002,0.0,1.0,3.0,0.3663003663003663,0.2949852507374631,0.3802281368821293,1.0415137539199586,0.3516999798818949,0.28322741742701274,0.3650726026910925,13,109,True,H1,43,28.0,0.0,27.0,0.0
2024-09-28,2024/2025,Nott'm Forest,Fulham,0,1,2.4,3.34,3.07,A,1521.7,1517.0,-17.6,4.338,-11.15,11.15,9.0,8.0,1.0,1.2,1.0,1.0,1.0,0.4,0.4,0.0,2.0,0.0,3.0,0.4166666666666667,0.29940119760479045,0.32573289902280134,1.0418007632942583,0.39994851352300126,0.28738815342970153,0.31266333304729743,13,109,True,H1,43,28.0,0.0,28.0,0.0
2024-09-28,2024/2025,Wolves,Liverpool,1,2,8.05,5.55,1.35,A,1442.7,1555.0,-127.4,-11.456,-7.56,7.56,1.0,12.0,-11.0,1.0,0.2,1.0,1.0,-1.8,1.8,-3.6,0.0,4.0,4.0,0.12422360248447203,0.1801801801801802,0.7407407407407407,1.0451445234053929,0.1188578227245687,0.1723973825104105,0.7087447947650208,13,109,True,H1,43,13.0,1.0,27.0,0.0
2024-09-29,2024/2025,Ipswich,Aston Villa,2,2,4.15,3.77,1.87,D,1468.3,1528.7,-56.5,-6.332,1.89,-1.89,3.0,12.0,-9.0,0.6,1.4,1.0,1.0,-1.0,0.6,-1.6,1.0,0.0,3.0,0.24096385542168672,0.26525198938992045,0.53475935828877,1.0409752031003772,0.23147895810007255,0.2548110546724937,0.5137099872274337,14,109,True,H1,44,29.0,0.0,29.0,0.0
2024-09-29,2024/2025,Man United,Tottenham,0,3,2.36,3.89,2.77,A,1500.1,1513.4,-50.4,0.0139999999999992,-18.51,18.51,7.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8,-0.8,3.0,1.0,1.0,0.42372881355932207,0.2570694087403599,0.36101083032490977,1.0418090526245918,0.40672406569307246,0.24675290360813648,0.346523030698791,14,109,True,H1,44,28.0,0.0,28.0,0.0
2024-09-30,2024/2025,Bournemouth,Southampton,3,1,1.65,4.29,4.91,H,1481.8,1445.3,66.1,-3.640000000000001,14.77,-14.77,5.0,1.0,4.0,1.0,1.8,1.0,1.0,-0.6,-1.4,0.7999999999999999,0.0,0.0,3.0,0.6060606060606061,0.2331002331002331,0.20366598778004072,1.0428268269408798,0.581170900482564,0.22352726941637077,0.19530183010106528,15,109,True,H1,45,16.0,0.0,30.0,0.0
